Place_Id,Place_Name,Description,Weekend_Holiday_Price,Weekday_Price,Category,Rating_Gmaps,Address
26,Candi Mendut Dan Pawon,Candi Budha berpahat batu yang dibangun pada 800 masehi & biara yang menawarkan tempat bermalam sederhana.,7000,7000,Wisata Budaya,4.4,"Jl. Mayor Kusen, Sumberrejo, Mendut, Kec. Mungkid, Kabupaten Magelang, Jawa Tengah 56501"
27,Candi Ngawen,"Candi Ngawen adalah candi bercorak Buddhisme yang berada kira-kira 5 km sebelah selatan candi Mendut, tepatnya di Desa Ngawen, Kecamatan Muntilan, Kabupaten Magelang. Menurut perkiraan, candi ini dibangun oleh penguasa Kerajaan Mataram Kuno dari wangsa Sailendra pada abad ke-8.",0,0,Wisata Budaya,4.5,"Unnamed Road, Ngawen, Ngawen, Kec. Muntilan, Kabupaten Magelang, Jawa Tengah 56415"
28,Candi Pendem,"Candi Pendem tahun pendirian sama dengan Candi Asu karena masih merupakan satu kompleks candi Hindu yang didirikan pada akhir abad IX M, pada masa pemerintahan Maharaja Rakai Kayuwangi Dyah Lokapala, beliau adalah Raja Mataram Kuna ke-8, yang memerintah pada tahun 855-885M.",10000,6500,Wisata Budaya,4.4,"Desa Candi,, Ngampel, Sengi, Kec. Dukun, Kabupaten Magelang, Jawa Tengah 56482"
29,Candi Retno,"Candiretno adalah desa di kecamatan Secang, Magelang, Jawa Tengah, Indonesia. Desa Candiretno merupakan gabungan dari dua desa yaitu Desa Setan dan Desa Candirejo. Desa Candiretno beberapa tahun terkahir terkenal karena memiliki Dusun bernama unik yaitu bernama Dusun Setan.",25000,20000,Wisata Budaya,4,"Kec. Secang, Kabupaten Magelang, Jawa Tengah"
30,Candi Selogriyo,"Candi batu Hindu yang didirikan di bukit abad ke-9, dikelilingi puncak, sawah & hutan.",3000,3000,Wisata Budaya,4.4,"Hutan, Windusari, Kec. Windusari, Kabupaten Magelang, Jawa Tengah 56152"
31,Curug Delimas,"Panorama alam berupa air terjun, wisatawan juga bisa menikmati hijaunya alam perbukitan yang masih asri dan alami. Selain itu di area Curug Delimas Magelang ini juga terdapat sejumlah spot foto yang instagramable.",5000,5000,Wisata Alam,4.1,"Dusun Kuadaan, Desa Girimulyo, Kecamatan Windusari, Dampit, Kec. Windusari, Kabupaten Magelang, Jawa Tengah 56152"
32,Curug Sigetik,Curug Silawe terkenal dengan kesegaran airnya yang masih terjaga. Lokasinya yang berada di pedesaan membuat objek wisata ini tidak terlalu ramai.,6000,6000,Wisata Alam,4.1,"Kopeng wetan, Kopeng Wetan, Sutopati, Kec. Kajoran, Kabupaten Magelang, Jawa Tengah 56163"
33,Desa Bahasa Borobodur,Desa Bahasa menyediakan 32 spot selfie untuk memanjakan pengunjung. Mulai dari anak-anak hingga orang dewasa bisa menikmati semua wahana yang ada di sini.,20000,15000,Desa Wisata,4.6,"Parakan rt/rw 02 Area, Sawah & Kebun, Ngargogondo, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553"
34,Desa Wisata Candirejo,"Desa Candirejo terletak di Kecamatan Borobudur Kabupaten Magelang Provinsi Jawa Tengah dan berada di 3 Km dari pusat peradaban dunia, Candi Borobudur. Candirejo berasal dari kata Candighra. Bila diuraikan, kata “Candi” berarti “batu” yang menggambarkan separuh dari luas wilayah Desa Candirejo berupa daerah bukit berbatu yang masuk dalam kawasan Pegunungan Menoreh dan merupakan bekas gunung api. “Rejo” berarti “makmur” yang menggambarkan keadaan dataran Desa Candirejo yang subur dan pertaniannya menggunakan sistem pertanian tumpangsari.",20000,20000,Wisata Budaya,4.6,"Jl. Raya Candirejo, Sangen, Candirejo, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553"
35,Festifal Telaga Bleder,Watern Lantern Festival atau pelepasan seribu lampion air ke telaga sambil menikmati musik akustik,7000,7000,Wisata Budaya,4.1,"Bleder, Ngasinan, Kec. Grabag, Kabupaten Magelang, Jawa Tengah"
36,Festival Kali Elo,"Tujuannya memperkenalkan dan mempromosikan potensi wisata rafting di Kabupaten Magelang yang nyaman, menantang namun aman sehingga bisa menambah minat wisatawan",75000,75000,Minat Khusus,4.8,"Jl. Balaputradewa No.1, Dusun 1, Wanurejo Borobudur, Magelang, Jawa Tengah 5655, Dusun 1, Wanurejo, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553"
37,Gardu Pandang Mangli,"Mangli Sky View Magelang menjadi perbincangan para traveler di sosial media. Spot wisata rekomended untuk menyaksikan pemandangan gunung Sumbing, sekaligus sebagai tempat menyaksikan panorama sunset maupun sunrise.",5000,5000,Wisata Alam,4.6,"Area Hutan/Sawah, Mangli, Kec. Kaliangkrik, Kabupaten Magelang, Jawa Tengah 56153"
38,Gelar Budaya Wanurejo,"Gelar Budaya Wanurejo dilaksanakan untuk memperingati hari jadi desa tersebut yang diyakini lahir pada 17 Mei 1799. ""Momentum hari jadi Desa Wanurejo ini merupakan kesempatan untuk kebangkitan dunia pariwisata di Borobudur.",0,0,Wisata Budaya,4.4,"Brojonalan, Dusun 1, Wanurejo, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553"
39,Gondo Purowangi,Bukit Gondopurowangi belakangan ini memang menghiasi beberapa akun Instagram dengan tema wisata di wilayah Yogyakarta dan sekitarnya ,5000,5000,Wisata Alam,4.8,"Keraloko, Kenalan, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553"
40,Gunung Gono,"Para pengunjung banyak berburu ‘sunrise’ dan mencari ketenangan untuk lebih dekat dengan alam. Selain itu, Bukit Gunung Gono merupakan destinasi bersejarah, karena banyak peninggalan Agama Hindhu, berupa Yoni dan Arca Ganesha.",5000,5000,Wisata Alam,4.5,"Banyubiru, Dukun, Magelang Regency, Central Java 56482"
41,Ketep Pass,"Gardu Pandang Ketep berada di percabangan jalan arah Kopeng dan Selo Boyolali. Dari sini, wisatawan bisa menyaksikan gagahnya Gunung Merapi saat cuaca cerah.",8000,8000,Wisata Buatan,4.4,"Ketep Pas, Ketep, Kec. Sawangan, Kabupaten Magelang, Jawa Tengah 56481"
42,Little Ubud River Tubing,"Sinar matahari pagi yang cerah terpancar, suasana alam yag awalnya sunyi ditimpali suara derasnya air sungai dan kicauan burung pagi. Serombongan itik melintasi hamparan sawah yang terbentang luas. Sawah menghijau bertingkat-tingkat, menjadi suguhan pemandangan yang sangat menenangkan pikiran dan perasaan.",40000,40000,Minat Khusus,4.4,"Lapangan, Tampir Wetan 2, Tampirwetan, Candimulyo, Magelang Regency, Central Java 56191"
43,Mangli,"Mangli adalah salah satu desa yang berada di kaki gunung sumbing sebelah timur yang mayoritas penduduknya bekerja sebagai petani, desa mangli terdiri dari dari 3 dusun yaitu Mangli, Bojong dan Dadapan",5000,5000,Wisata Alam,4,"Kec. Kaliangkrik, Kabupaten Magelang, Kabupaten Magelang, Jawa Tengah"
44,Nakula Sadewa,"Nakula Sadewa Education Park menyuguhkan taman berhiaskan patung-patung dari seni pahat batu, kolam renang, dan bangunan-bangunan miniatur, serta hiasan air mancur yang menarik. Sejauh mata memandang, Nakula Sadewa Education Park juga menyediakan spot-spot yang sangat menarik bagi penggemar fotografi dan foto-selfie",20000,20000,Wisata Buatan,5,"Jl. Magelang - Yogyakarta, Jetak, Kec. Mungkid, Kabupaten Magelang, Jawa Tengah 56512"
45,Pahat Batu Dan Edukasi Tamanagung,Dusun yang disebutkan terakhir ini merupakan cikal-bakal sentra Kerajinan Pahat Batu di Desa Tamanagung. Sejak dulu hingga sekarang dusun ini dikenal sebagai pemahat patung batu dengan menggunakan batu andesit sebagai bahan material utamanya. Dipilihnya batu andesit sebagai bahan material karena letak dusun ini berdekatan dengan lereng Gunung Merapi yang merupakan kawasan bebatuan yang melimpah ruah.,10000,6500,Wisata Buatan,4.1,"Sidoharjo, Tamanagung, Kec. Muntilan, Kabupaten Magelang, Jawa Tengah 56413"
46,Papringan Sawangan,"Tempat wisata Papringan Magelang ini memiliki konsep yang berbeda dengan tempat wisata lainnya, yakni tempat wisata yang menghadirkan konsep bangunan bambu yang memanfaatkan tumbuhan bambu. Dan asal mula diberi nama Papringan yakni dalam bahasa jawa artinya Bambu. Di Wisata Papringan Magelang ini, wisatawan akan merasakan nuansa luar negeri yang kental namun tidak meninggalkan nilai budaya dan seni yang tingg",6000,6000,Wisata Buatan,4.1,"papringan sawangan belakang smp 1, Pasekan, Gondowangi, Sawangan, Magelang Regency, Central Java 56481"
47,Pasar Kebon Watu Gede,"Pasar di bawah rimbun pohon bambu di Dusun Jetak, Desa Sidorejo, Kecamatan Bandongan, Kabupaten Magelang, Jawa Tengah tersebut menyajikan aneka kuliner tradisional kuno alias tempo dulu. Semarak Pasar Kebon Watu Gede' ini merupakan salah satu upaya GenPi Magelang dalam memunculkan destinasi baru pariwisata di Magelang selain Candi Borobudur. GenPi mengangkat Pasar Kebon Watu Gede ini tingkatnya ke nasional dan sudah masuk dalam detinasi digitalisasi yang digagas oleh Kemenpar (Kementerian Pariwisata).",24000,17000,Wisata Buatan,4.5,"Gumuk, Gandusari, Kec. Bandongan, Kabupaten Magelang, Jawa Tengah 56151"
48,Pemandian Air Hangat Candi Umbul,"Candi Umbul adalah situs purbakala berupa pemandian air panas yang terletak di Kabupaten Magelang, Jawa Tengah, Indonesia. Candi ini dibangun sejak zaman Wangsa Syailendra, dan sampai sekarang sisa-sisa peninggalannya masih tetap dilindungi dan dijadikan salah satu objek wisata andalan di Kabupaten Magelang.",5000,5000,Wisata Budaya,3.9,"dimajar 1, Desakan, Sumberarum, Kec. Tempuran, Kabupaten Magelang, Jawa Tengah 56161"
49,Pendakian Gunung Andong Via Pendem,"Jalur Pendem merupakan jalur pendakian Gunung Andong dari pintu masuk dusun Pendem, Ngablak, Magelang",3000,3000,Wisata Alam,4.8,"Area Hutan/Kebun, Girirejo, Kec. Ngablak, Kabupaten Magelang, Jawa Tengah 56194"
50,Pendakian Gunung Andong Via Sawit,"Basecamp gunung Andong Taruna jaya giri sawit adalah tempat berkumpulnya teman pendaki dengan fasilitas #tempat istrahat nyaman penyewaan audor, tempat parkir, ada penginapan, tempat evakuasi, P3K, tempat iformasi",10000,10000,Wisata Alam,4.6,"Dusun Sawit, RT.003/RW.03, Nongkosawit, Girirejo, Kec. Ngablak, Kabupaten Magelang, Jawa Tengah 56194"
51,Pendakian Gunung Giyanti,"Gunung Giyanti yang terletak di kecamatan Windusari Kabupaten Magelang dengan tinggi kira-kira 1200 mdpl, menjadi pilihan tepat untuk Anda yang mencari pengalam melakukan pendakian yang minim tantangan.",5000,5000,Wisata Alam,4.6,"Hutan, Windusari, Kec. Windusari, Kabupaten Magelang, Jawa Tengah"
52,Prasati Tuk Mas,"Prasasti Tukmas terletak di Kelurahan Lebak, Kecamatan Grabag, Kabupaten Magelang, Jawa Tengah. Batu alam di lereng Gunung Merbabu yang dipahat dengan satu baris aksara Pallava berbahasa Sanskerta sementara ini merupakan prasasti berusia paling awal yang ditemukan di Jawa Tengah, berdasarkan paleografisnya berasal dari kisaran abad VI-VII M.",30000,30000,Wisata Budaya,4.2,"Panbak, Lebak, Kec. Grabag, Kabupaten Magelang, Jawa Tengah 56196"
53,Punthuk Mangir Gunung Payung,Objek wisata terbuka yang cocok untuk foto di hutan pinus dengan rumah pohon dan jalan kayu yang unik.,0,0,Wisata Alam,4.2,"Area Hutan, Bawang, Kec. Tempuran, Kabupaten Magelang, Jawa Tengah 56161"
54,Punthuk Mongrong,"Tempat observasi di ketinggian dengan panorama puncak berhutan, populer dengan matahari terbit & terbenamnya.",5000,3000,Wisata Alam,4.3,"Desa Giritengah, Kec. Borobudur, Olgung, Giripurno, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553"
55,Punthuk Setumbu,Jalur curam saat fajar mengarah ke titik tinggi ini dengan pemandangan pegunungan dan Candi Borobudur.,15000,15000,Wisata Alam,4.5,"Kurahan, Karangrejo, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553"
56,River Tubing X-Gono Adventure,Wisata air yang disebut Tubing dapat meluncur bebas dengan ban dalam mobil mengarungi derasnya arus sungai,35000,30000,Minat Khusus,4.3,"Jl. Candimulyo No.Km.002, Treko I, Treko, Kec. Mungkid, Kabupaten Magelang, Jawa Tengah 56551"
57,Rumah Camera,"Destinasi populer untuk berfoto dengan latar belakang unik, juga menawarkan kafe untuk menikmati camilan.",15000,15000,Wisata Buatan,4.9,"Majaksingi 8, Karang Bawang, Majaksingi, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553"
58,Sendang Hageng Tirta Kencana,"Pemandian ""Sendang Hageng Tirta Kencana"" dengan mata air alami di Dusun Gatak Sirat, Blabak Mungkid Magelang, akan dibuka untuk umum hingga malam hari.",4000,4000,Wisata Buatan,4.8,"Gatak, Mungkid, Kec. Mungkid, Kabupaten Magelang, Jawa Tengah 56512"
59,Silancur Higland,Pemandangan matahari terbit di puncak jauh dari titik pengamatan atas pegunungan plus kafe & area perkemahan.,15000,10000,Wisata Alam,4.6,"Dadapan, Mangli, Kec. Kaliangkrik, Kabupaten Magelang, Jawa Tengah 56153"
60,Sleker Asri,Fasilitas untuk outbond dengan beberapa permainan yang menantang adrenalin seperti flying fox dan sebagainya.,4000,4000,Wisata Alam,4.2,"Grenjeng, Gandusari, Bandongan, Grenjeng, Gandusari, Magelang, Kabupaten Magelang, Jawa Tengah 56151"
61,Taman Bunga Pagoda,"Wisata Taman Bunga Pagoda disebuah desa diDaerah Pegunungan.Alamnya yang masih asri,sejuk dan nyaman udaranya segar.Viewnya yang Indah, persawahan, pegunungan dan Gunung-gunung yang menjulang diBarat ada Gunung Sumbing diTimur ada Gunung Merapi",15000,10000,Wisata Buatan,4.1,"Candirejo, Ketangi, Kec. Kaliangkrik, Kabupaten Magelang, Jawa Tengah 56153"
62,Taman Naura,Menyuguhkan keindahan alam yang menarik. Banyak juga wahana menarik yang bisa dirasakan keseruannya oleh anak-anak.,10000,10000,Wisata Buatan,3.9,"Kalipeh, Plosogede, Kec. Ngluwar, Kabupaten Magelang, Jawa Tengah 56485"
63,Taman Ramadanu,Taman bunga terkenal dengan pemandangan indah & latar belakang foto di tengah-tengah bunga mekar penuh warna.,5000,5000,Wisata Buatan,4.2,"Dusun Danurojo, Sambi Roro, Jamuskauman, Kec. Ngluwar, Kabupaten Magelang, Jawa Tengah 56485"
64,Taman Rekreasi Mendut,"Kolam renang yang berada di Mayor Kusen, Mendut, Mungkid Magelang. Terdapat beberapa fasilitas yang dapat digunakan pengunjung seperti tempat penitipan pakaian, kamar mandi dan ganti pakaian, area bermain, taman, lapangan tenis, mushala, dan kantin",18500,15500,Wisata Buatan,4.1,"Jalan Mayor Kusen Mendut, Ngentan II, Sawitan, Kec. Mungkid, Kabupaten Magelang, Jawa Tengah 56512"
65,Taman Wisata Kalibening,"Taman yang pada umumnya menyajikan wisata air berupa waterboom, ember tumpah",25500,20500,Wisata Buatan,4.1,"Talaga Bening, Payaman, Kec. Secang, Kabupaten Magelang, Jawa Tengah 56195"
66,Telaga Bleder,Danau alami ini terbentuk dari cekungan tanah yang dialiri air dari sumber mata air yang ada di sekitarnya.,7000,7000,Wisata Alam,4.1,"Bleder, Ngasinan, Kec. Grabag, Kabupaten Magelang, Jawa Tengah"
67,Top Selfi Kragilan,Taman berhutan dengan pohon pinus tinggi memiliki pemandangan unik sebagai objek foto berbayar atau selfie.,3000,3000,Wisata Alam,4.3,"Area Kebun/Hutan, Pogalan, Kec. Pakis, Kabupaten Magelang, Jawa Tengah 56193"
68,Tubing Kali Blongkeng,Salah Satu Spot Adrenalin Di Wahana Baru Blongkeng River Adventure,4000,4000,Minat Khusus,4.5,"Kaweran, Kawetan, Muntilan, Kec. Muntilan, Kabupaten Magelang, Jawa Tengah 56411"
69,Tubing Sobo Ndeso Sobo Kali,Tempat bermain Tubbing berada satu kompleks sama warung Sobo nDeso monggo katuran rawuh. Kegiatan susur sungai (Karst Tubing) di Sobo nDeso Gayam menjadi salah satu daya tarik tersendiri yang sayang untuk dilewati. Deretan batuan Karst dan pemandangan alami dipadu dengan adrenalin terpacu tipis membuat sensasi tubing Gayam ini menjadi hiburan tersendiri yang beda dengan yang lain.,10000,10000,Minat Khusus,4.4,"Dsn. Gadingsari, RT.15/RW.05, Mranggen, Mangunsari, Sawangan, Magelang Regency, Central Java 56481"
70,West Tamp Tubing,"West Tamp Tubing merupakan petualangan menggunakan tube (ban dalam menyusuri Kali Gono yang berada di Kabupaten Magelang, serta dilengkapi dengan peralatan standar dan pemandu berpengalaman dibidang penelusuran Kali Gono.",50000,50000,Minat Khusus,4.7,"Mertoyudan-Candimuly, Tapir Kulon, Tampirkulon, Kec. Candimulyo, Kabupaten Magelang, Jawa Tengah 56191"
71,Wisata Vw Borobudur,"Wisata VW Magelang, Mengelilingi Desa Wisata Borobudur Yang Sedang Hits Dan Instagramable.",20000,20000,Minat Khusus,4.8,"Jl. Sentanu, Bojong, Wringinputih, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553"
